                     CO2,,,,                       Aire,,,,,,,,,,,
             X,Y,,,X,Y,,,,,,,,,            m=,-0.048044281
10,2.810075242,,,10,3.593813664,,,,,,,,,,
20.0459103,2.327426706,,,20.0459103,3.588477284,,,,,,,,,,
30.11766947,2.086842621,,,30.11766947,3.585357226,,,,,,,,,,
39.50800344,1.966060268,,,39.84449475,3.583213761,,,,,,,,,,
50.09747508,1.834264378,,,50.09747508,3.581460969,,,,,,,,,,
60.37361007,1.745505682,,,59.86374803,3.58009828,,,,,,,,,,
69.7368372,1.694208908,,,69.7368372,3.578930673,,,,,,,,,,
79.87191678,1.628347235,,,79.87191678,3.57789312,,,,,,,,,,
89.18180193,1.580608074,,,89.94136706,3.576985508,,,,,,,,,,
100.4249492,1.519217647,,,100.4249492,3.576142931,,,,,,,,,,
197.9251218,1.334857258,,,199.6108583,3.5708975,,,,,,,,,,
37.54789851,1.985717906,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
                CO2 ppm,,,,                Aire ppm,,,,,,,,,,,
X,Y,,,X,Y,,,,,,,,,,
2.302585093,1.03321126,,,2.302585093,1.279213941,,,,,,,,,,
2.998025158,0.844763239,,,2.998025158,1.277727958,,,,,,,,,,
3.405112025,0.735652216,,,3.405112025,1.276858114,,,,,,,,,,
3.67650327,0.676031677,,,3.684984246,1.276260096,,,,,,,,,,
3.913970609,0.606643517,,,3.913970609,1.275770809,,,,,,,,,,
4.10055209,0.557044303,,,4.092071114,1.275390252,,,,,,,,,,
4.244728689,0.527215911,,,4.244728689,1.275064061,,,,,,,,,,
4.380424311,0.487565534,,,4.380424311,1.274774113,,,,,,,,,,
4.490677005,0.45780963,,,4.499157981,1.274520409,,,,,,,,,,
4.609410674,0.418195497,,,4.609410674,1.274284826,,,,,,,,,,
5.287888786,0.288824363,,,5.296369763,1.272816965,,,,,,,,,,
3.625617412,0.685980514,,,,,,,,,,,,,,
